hospital_id,hospital_name,province_code,province_name,health_region,city,hospital_type,urban_rural,bed_count,established_year
1,Memorial Cranbrook Hospital & Health Sciences Centre,BC,British Columbia,Interior,Cranbrook,Community,Urban,145,1966
2,Maple Mississauga Regional Hospital,ON,Ontario,North West,Mississauga,Community,Urban,181,1972
3,Victoria Toronto Memorial Hospital,ON,Ontario,Central,Toronto,Rural,Rural,63,1948
4,Sunnybrook Calgary General Hospital,AB,Alberta,Calgary Zone,Calgary,Rural,Urban,35,1938
5,Heritage Summerside Hospital,PE,Prince Edward Island,Health PEI,Summerside,Rural,Rural,60,1946
6,Heritage London Regional Hospital,ON,Ontario,Toronto Central,London,Community,Urban,56,1933
7,North Mississauga Hospital,ON,Ontario,West,Mississauga,Teaching,Urban,474,1936
8,Maple Brampton Health Centre,ON,Ontario,South West,Brampton,Community,Urban,192,1978
9,Victoria Sault Ste. Marie Hospital,ON,Ontario,South West,Sault Ste. Marie,Specialty,Urban,82,1984
10,Royal Hamilton General Hospital,ON,Ontario,South West,Hamilton,Community,Urban,127,1962
11,St. Rimouski Memorial Hospital,QC,Quebec,Outaouais,Rimouski,Rural,Urban,56,1903
12,North Sherbrooke Hospital,QC,Quebec,Estrie,Sherbrooke,Rural,Urban,33,1948
13,East Barrie General Hospital,ON,Ontario,Toronto Central,Barrie,Community,Urban,239,1985
14,Civic Rimouski Hospital & Health Sciences Centre,QC,Quebec,Estrie,Rimouski,Community,Urban,209,1908
15,Central Windsor Health Centre,ON,Ontario,Central,Windsor,Community,Urban,143,1898
16,Central Chicoutimi Hospital,QC,Quebec,Mauricie,Chicoutimi,Rural,Urban,72,1963
17,Heritage Bathurst Memorial Hospital,NB,New Brunswick,Vitalite,Bathurst,Rural,Urban,28,1982
18,Memorial Fort McMurray Hospital,AB,Alberta,Calgary Zone,Fort McMurray,Community,Urban,250,1889
19,General Gatineau Hospital,QC,Quebec,Lanaudiere,Gatineau,Rural,Urban,57,1894
20,West Barrie Memorial Hospital,ON,Ontario,Central,Barrie,Teaching,Urban,449,1963
21,Maple Brampton Health Centre,ON,Ontario,East,Brampton,Rural,Urban,63,1955
22,Civic Trois-Rivieres General Hospital,QC,Quebec,Estrie,Trois-Rivieres,Rural,Urban,78,1901
23,Royal Windsor Regional Hospital,ON,Ontario,West,Windsor,Community,Urban,169,1969
24,East Brandon Hospital,MB,Manitoba,Southern Health,Brandon,Community,Urban,290,1896
25,Sunnybrook Thunder Bay Hospital,ON,Ontario,North East,Thunder Bay,Community,Urban,180,1890
26,Heritage Hamilton Regional Hospital,ON,Ontario,South West,Hamilton,Community,Urban,135,1955
27,South Grande Prairie Hospital,AB,Alberta,Edmonton Zone,Grande Prairie,Rural,Urban,50,1881
28,Queen's Hamilton Memorial Hospital,ON,Ontario,North East,Hamilton,Rural,Urban,70,1988
29,Memorial Sudbury Memorial Hospital,ON,Ontario,Toronto Central,Sudbury,Rural,Rural,46,1927
30,Royal Barrie Hospital,ON,Ontario,West,Barrie,Community,Urban,176,1913
31,Victoria Gatineau Hospital,QC,Quebec,Outaouais,Gatineau,Rural,Urban,48,1882
32,Queen's Sudbury Hospital,ON,Ontario,Central,Sudbury,Rural,Rural,51,1947
33,Central Brandon Regional Hospital,MB,Manitoba,Northern Health,Brandon,Rural,Urban,70,1905
34,Civic Mississauga Regional Hospital,ON,Ontario,Toronto Central,Mississauga,Specialty,Urban,150,1967
35,General Red Deer Regional Hospital,AB,Alberta,North Zone,Red Deer,Rural,Urban,76,1959
36,Royal Laval Regional Hospital,QC,Quebec,Mauricie,Laval,Teaching,Urban,75,1964
37,Memorial Gatineau Hospital & Health Sciences Centre,QC,Quebec,Montreal,Gatineau,Rural,Urban,59,1936
38,Queen's Fredericton Medical Centre,NB,New Brunswick,Horizon,Fredericton,Rural,Rural,79,1941
