hospital_id,period_id,fiscal_year,total_budget_cad,actual_spend_cad,nursing_fte,physician_fte,admin_fte,or_rooms
1,1,2014,40313637.0,42948054.0,205,27,45,4
1,2,2015,41442419.0,43421670.0,188,27,33,5
1,3,2016,42571201.0,45035801.0,237,31,29,4
1,4,2017,43699982.0,45804934.0,189,32,29,4
1,5,2018,44828764.0,42524437.0,238,23,33,4
1,6,2019,45957546.0,43068570.0,252,41,57,4
1,7,2020,52736687.0,49459159.0,222,35,43,5
1,8,2021,54000923.0,57352010.0,188,42,37,3
1,9,2022,49343892.0,50499322.0,226,27,47,5
1,10,2023,50472673.0,51901535.0,235,23,47,5
2,1,2014,43472664.0,42374219.0,235,33,45,5
2,2,2015,44689899.0,41773322.0,290,40,47,6
2,3,2016,45907134.0,45119605.0,254,29,52,6
2,4,2017,47124368.0,48162985.0,315,30,47,5
2,5,2018,48341603.0,49082463.0,243,32,41,5
2,6,2019,49558837.0,46119552.0,281,28,36,6
2,7,2020,56869201.0,57365370.0,290,51,43,4
2,8,2021,58232503.0,59077598.0,270,34,59,5
2,9,2022,53210541.0,50700497.0,274,41,49,5
2,10,2023,54427776.0,51536525.0,226,51,44,6
3,1,2014,13318817.0,13916739.0,92,14,15,2
3,2,2015,13691744.0,13651069.0,78,18,18,2
3,3,2016,14064670.0,13308498.0,92,10,15,2
3,4,2017,14437597.0,14144893.0,108,18,22,2
3,5,2018,14810524.0,14663476.0,83,15,17,1
3,6,2019,15183451.0,14422667.0,93,16,24,2
3,7,2020,17423143.0,18778994.0,88,12,16,1
3,8,2021,17840821.0,18845888.0,93,9,15,2
3,9,2022,16302232.0,15357891.0,91,11,16,2
3,10,2023,16675158.0,17856416.0,106,16,20,1
4,1,2014,8130390.0,8735887.0,43,6,13,1
4,2,2015,8358040.0,7809608.0,58,7,9,1
4,3,2016,8585691.0,8611054.0,47,8,8,1
4,4,2017,8813342.0,9487938.0,43,7,8,1
4,5,2018,9040993.0,8489541.0,59,6,8,1
4,6,2019,9268644.0,9129459.0,53,6,7,1
4,7,2020,10635850.0,10855725.0,45,6,8,1
4,8,2021,10890819.0,11345966.0,58,10,12,1
4,9,2022,9951597.0,9402280.0,57,9,11,1
4,10,2023,10179248.0,9482407.0,44,10,11,1
5,1,2014,12758844.0,13091506.0,77,13,12,2
5,2,2015,13116092.0,13600908.0,99,12,19,2
5,3,2016,13473339.0,13399539.0,95,15,16,1
5,4,2017,13830587.0,14391939.0,74,15,23,2
5,5,2018,14187835.0,13684982.0,103,17,21,2
5,6,2019,14545082.0,15403302.0,97,15,20,2
5,7,2020,16690610.0,16892557.0,107,11,14,2
5,8,2021,17090727.0,17702293.0,95,16,20,1
5,9,2022,15616825.0,15637978.0,106,10,16,2
5,10,2023,15974073.0,15802230.0,102,14,18,1
6,1,2014,14871732.0,14355408.0,73,15,16,2
6,2,2015,15288141.0,15733211.0,97,15,18,1
6,3,2016,15704549.0,14614107.0,85,12,15,2
6,4,2017,16120958.0,15824447.0,90,16,18,1
6,5,2018,16537366.0,15786281.0,84,11,16,1
6,6,2019,16953775.0,16029198.0,76,15,18,2
6,7,2020,19454605.0,20747054.0,78,8,18,1
6,8,2021,19920983.0,19620457.0,97,16,15,1
6,9,2022,18203000.0,17307468.0,83,14,17,1
6,10,2023,18619409.0,17832204.0,78,8,22,1
7,1,2014,121268277.0,121133364.0,666,82,104,13
7,2,2015,124663789.0,121535782.0,711,101,182,16
7,3,2016,128059301.0,134322804.0,702,107,116,12
7,4,2017,131454813.0,128379891.0,746,106,111,16
7,5,2018,134850324.0,137452939.0,619,134,131,15
7,6,2019,138245836.0,133921920.0,779,104,154,18
7,7,2020,158638310.0,149331147.0,586,71,117,16
7,8,2021,162441283.0,153662351.0,680,128,97,17
7,9,2022,148432371.0,151158063.0,833,78,98,13
7,10,2023,151827883.0,150594380.0,579,99,120,12
8,1,2014,38171475.0,39893538.0,240,57,39,6
8,2,2015,39240276.0,37881968.0,234,29,45,5
8,3,2016,40309077.0,43122094.0,313,55,42,7
8,4,2017,41377879.0,40568136.0,278,41,48,6
8,5,2018,42446680.0,39737875.0,271,51,59,5
8,6,2019,43515481.0,41921735.0,287,50,50,5
8,7,2020,49934396.0,51398841.0,310,50,45,5
8,8,2021,51131454.0,54950851.0,340,56,70,6
8,9,2022,46721885.0,44469844.0,342,34,46,5
8,10,2023,47790686.0,44471207.0,341,32,39,7
9,1,2014,17699471.0,17330118.0,146,17,31,2
9,2,2015,18195057.0,17700454.0,141,14,23,2
9,3,2016,18690642.0,18302649.0,115,21,21,2
9,4,2017,19186227.0,18490067.0,103,18,17,2
9,5,2018,19681812.0,20935242.0,111,12,28,2
9,6,2019,20177397.0,21762652.0,113,14,17,2
9,7,2020,23153740.0,21736402.0,115,15,21,2
9,8,2021,23708796.0,25494156.0,134,13,27,2
9,9,2022,21664153.0,20675139.0,121,17,27,3
9,10,2023,22159738.0,21627277.0,122,17,27,3
10,1,2014,34834188.0,37458487.0,184,29,47,4
10,2,2015,35809545.0,35835669.0,208,21,28,3
10,3,2016,36784902.0,34980874.0,191,30,48,3
10,4,2017,37760260.0,38950952.0,180,21,48,3
10,5,2018,38735617.0,40574884.0,183,21,45,3
10,6,2019,39710974.0,40058537.0,177,37,32,3
10,7,2020,45568691.0,46116391.0,182,32,30,3
10,8,2021,46661091.0,45637819.0,198,25,30,4
10,9,2022,42637046.0,41585632.0,169,28,34,3
10,10,2023,43612403.0,44825842.0,214,29,47,4
11,1,2014,10170480.0,9734626.0,79,13,13,1
11,2,2015,10455253.0,10882574.0,98,11,13,2
11,3,2016,10740026.0,11237410.0,94,9,20,1
11,4,2017,11024800.0,11179517.0,93,14,22,1
11,5,2018,11309573.0,10557568.0,91,14,22,1
11,6,2019,11594347.0,10803349.0,77,11,19,1
11,7,2020,13304614.0,12651986.0,87,9,17,1
11,8,2021,13623561.0,12978088.0,74,11,19,1
11,9,2022,12448667.0,12407136.0,84,14,20,2
11,10,2023,12733440.0,12769618.0,91,8,16,1
12,1,2014,6925572.0,6593241.0,48,8,12,1
12,2,2015,7119488.0,7193518.0,47,9,8,1
12,3,2016,7313404.0,7269407.0,55,8,8,1
12,4,2017,7507320.0,7480062.0,42,9,9,1
12,5,2018,7701236.0,7479327.0,49,7,8,1
12,6,2019,7895152.0,8264112.0,44,9,8,1
12,7,2020,9059756.0,9690986.0,39,6,7,1
12,8,2021,9276942.0,9426520.0,44,9,12,1
12,9,2022,8476900.0,8774383.0,53,8,11,1
12,10,2023,8670816.0,8552878.0,48,6,11,1
13,1,2014,49236782.0,47973511.0,351,68,80,6
13,2,2015,50615412.0,48494603.0,395,53,56,7
13,3,2016,51994041.0,56106357.0,429,42,58,8
13,4,2017,53372671.0,54236194.0,328,40,71,8
13,5,2018,54751301.0,53795802.0,408,61,68,8
13,6,2019,56129931.0,60546339.0,318,55,71,8
13,7,2020,64409588.0,66186416.0,288,53,90,8
13,8,2021,65953654.0,61451531.0,379,55,77,6
13,9,2022,60265821.0,63735531.0,315,59,52,9
13,10,2023,61644451.0,59521853.0,315,50,49,6
14,1,2014,39155710.0,40593526.0,307,34,80,6
14,2,2015,40252070.0,41035894.0,261,48,78,6
14,3,2016,41348430.0,43928134.0,287,49,68,7
14,4,2017,42444790.0,41268573.0,256,47,50,7
14,5,2018,43541150.0,46854872.0,362,34,71,7
14,6,2019,44637510.0,44172255.0,334,37,59,8
14,7,2020,51221934.0,54137910.0,272,35,49,6
14,8,2021,52449857.0,55832910.0,304,38,71,5
14,9,2022,47926589.0,51071633.0,262,59,80,5
14,10,2023,49022949.0,50632288.0,361,56,70,6
15,1,2014,36811784.0,35371432.0,232,37,36,4
15,2,2015,37842514.0,39251967.0,204,41,31,5
