record_id,hospital_id,procedure_id,period_id,patient_count,p50_wait_days,p90_wait_days,pct_within_benchmark,data_completeness
1,1,1,1,117,155.5,260.5,66.2,Complete
2,1,1,2,98,91.8,187.9,94.0,Complete
3,1,1,3,107,133.9,225.2,74.3,Complete
4,1,1,4,78,119.6,250.0,58.8,Partial
5,1,1,5,57,127.3,214.9,82.4,Complete
6,1,1,6,199,110.1,212.4,85.0,Partial
7,1,1,7,66,158.2,289.4,51.8,Complete
8,1,1,8,88,155.1,330.3,47.0,Complete
9,1,1,9,125,121.4,232.9,81.8,Complete
10,1,1,10,193,115.2,221.8,77.4,Complete
11,1,2,1,95,117.4,252.3,61.9,Complete
12,1,2,2,138,122.0,223.4,78.6,Complete
13,1,2,3,69,144.9,257.6,65.9,Partial
14,1,2,4,92,96.8,183.7,88.1,Complete
15,1,2,5,113,109.6,240.4,79.4,Complete
16,1,2,6,112,115.0,227.4,78.5,Complete
17,1,2,7,25,136.1,258.0,62.0,Complete
18,1,2,8,26,166.4,281.2,52.4,Complete
19,1,2,9,109,119.0,200.4,83.3,Complete
20,1,2,10,56,114.1,194.3,95.2,Complete
21,1,3,1,163,1.2,2.4,74.0,Estimated
22,1,3,2,149,1.7,2.8,60.8,Partial
23,1,3,3,149,1.4,2.5,67.9,Complete
24,1,3,4,215,1.4,2.3,83.2,Complete
25,1,3,5,157,1.4,2.5,68.4,Complete
26,1,3,6,208,1.0,2.1,80.3,Partial
27,1,3,7,106,2.0,3.6,57.3,Complete
28,1,3,8,204,1.7,3.8,52.9,Complete
29,1,3,9,247,1.4,2.5,64.3,Complete
30,1,3,10,143,1.1,1.9,100.0,Complete
31,1,4,1,52,68.6,125.5,85.0,Complete
32,1,4,2,143,76.6,129.8,84.8,Complete
33,1,4,3,38,60.5,115.8,93.5,Complete
34,1,4,4,109,76.8,140.0,75.0,Complete
35,1,4,5,117,71.6,119.7,88.0,Complete
36,1,4,6,59,57.6,120.2,82.0,Complete
37,1,4,7,70,107.7,196.3,51.1,Complete
38,1,4,8,98,116.6,205.5,57.2,Complete
39,1,4,9,117,68.6,125.5,74.4,Estimated
40,1,4,10,123,68.1,125.4,76.8,Partial
41,1,5,1,107,19.6,32.7,73.4,Complete
42,1,5,2,84,19.6,38.7,73.0,Complete
43,1,5,3,75,18.3,33.8,70.3,Complete
44,1,5,4,73,19.4,38.6,66.9,Partial
45,1,5,5,172,20.7,35.0,67.0,Complete
46,1,5,6,185,19.6,38.1,68.0,Partial
47,1,5,7,50,19.2,41.3,55.6,Complete
48,1,5,8,72,23.1,39.4,70.4,Complete
49,1,5,9,137,19.9,35.0,80.0,Complete
50,1,5,10,136,18.5,31.2,94.2,Complete
